Code,Name,Unit,Energy_Kcal,Protein_g,Fat_g,Carb_g,Fiber_g,Calcium_mg,Iron_mg,Vit_A_mcg,Vit_C_mg,Vit_B1_mg,Vit_B2_mg
12019,Kẹo dứa mềm,100g,415.0,0.6,12.2,75.6,2.5,16.0,0.4,0.0,0.0,0.0,0.0
12020,Kẹo lạc,100g,449.0,10.3,16.5,64.8,2.2,0.0,0.0,0.0,0.0,0.0,0.0
12021,Kẹo Pastille (kẹo ngậm bạc hà),100g,356.0,5.2,0.0,83.8,0.0,96.0,1.6,0.0,0.0,0.0,0.0
12022,Kẹo sô cô la,100g,388.0,1.6,4.6,85.1,1.2,0.0,0.0,0.0,0.0,0.0,0.0
12023,Kẹo sữa,100g,390.0,2.9,5.2,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12024,Kẹo vừng viên,100g,417.0,2.8,6.9,85.9,1.7,0.0,0.0,0.0,0.0,0.05,0.02
12025,Mạch nha,100g,331.0,0.2,0.0,82.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1
12026,Mật ong,100g,327.0,0.4,0.0,81.3,0.0,5.0,0.9,0.0,4.0,0.0,0.04
12027,Mứt lạc,100g,431.0,5.4,8.6,82.9,0.7,0.0,0.0,0.0,0.0,0.16,0.03
13001,Cary bột,100g,283.0,8.2,7.3,46.0,8.9,906.0,0.0,0.0,0.0,0.03,0.4
13002,Gừng khô (bột),100g,323.0,9.1,5.9,58.3,12.5,180.0,11.52,0.0,7.0,0.16,0.27
13003,Gừng tươi,100g,29.0,0.4,0.8,5.1,3.3,60.0,2.5,0.0,5.0,0.04,0.04
13004,Hạt tiêu,100g,231.0,7.0,7.4,34.1,33.5,732.0,4.6,0.0,0.0,0.05,0.06
13005,Muối,100g,0.0,0.0,0.0,0.0,0.0,150.0,0.81,0.0,0.0,0.0,0.0
13006,"Nghệ khô, bột",100g,295.0,7.8,9.9,43.8,21.1,146.0,18.6,0.0,26.0,0.03,0.12
13007,Nghệ tươi,100g,25.0,1.1,0.3,4.4,6.5,12.0,0.0,0.0,4.0,0.03,0.03
13008,Ớt khô bột,100g,227.0,15.6,4.2,31.8,23.6,85.0,17.0,0.0,0.0,0.61,0.9
13009,Riềng,100g,26.0,0.3,0.0,2.5,3.7,24.0,0.0,0.0,0.0,0.0,0.0
13010,Magi,100g,65.0,10.5,0.1,5.6,0.0,20.0,2.38,0.0,0.0,0.06,0.15
13011,Mắm tôm đặc,100g,73.0,14.8,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13012,Mắm tôm loãng,100g,44.0,7.0,0.8,2.1,0.0,645.0,0.0,0.0,0.0,0.0,0.0
13013,Mắm tép chua,100g,68.0,8.7,1.2,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13014,Nước mắm cá (loại đặc biệt),100g,60.0,15.0,0.0,0.0,0.0,387.0,2.7,0.0,0.0,0.09,0.86
13015,Nước mắm cá loại I,100g,28.0,7.1,0.0,0.0,0.0,387.0,2.7,0.0,0.0,0.03,0.27
13016,Nước mắm loại II,100g,21.0,5.2,0.0,0.0,0.0,314.0,1.9,0.0,0.0,0.0,0.0
13017,Nước mắm cá,100g,35.0,5.1,0.01,3.6,0.0,43.0,0.78,4.0,1.0,0.01,0.06
13018,Nước mắm cô,100g,131.0,32.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13019,Tương ngô,100g,75.0,3.9,0.1,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13020,Tương nếp,100g,86.0,4.3,0.7,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13021,Tương ớt,100g,37.0,0.5,0.5,7.6,0.9,9.0,0.5,0.0,30.0,0.01,0.09
13022,Xì dầu,100g,53.0,6.3,0.04,6.8,0.8,19.0,1.93,0.0,0.0,0.03,0.17
13023,Sốt mayonnaise,100g,701.0,0.0,77.8,0.1,0.0,7.0,0.23,0.0,0.0,0.01,0.06
14001,"Bia (cồn: 4,5 g)",100g,11.0,0.5,0.0,2.3,0.0,6.0,0.1,0.0,0.0,0.01,0.03
14002,Cô nhắc (cồn 32 g),100g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14003,Cốc tai (cồn 13 g),100g,63.0,0.0,0.0,15.7,0.0,6.0,0.36,0.0,0.0,0.0,0.0
14004,Coca cola,100g,42.0,0.0,0.0,10.4,0.0,8.0,0.0,0.0,0.0,0.0,0.0
14005,Nước cam tươi,100g,23.0,0.7,0.2,4.5,0.2,26.0,0.3,0.0,54.0,0.09,0.03
14006,Nước dừa non tươi,100g,21.0,0.4,0.0,4.8,0.0,60.0,0.3,0.0,1.0,0.0,0.0
14007,Nước ép cà chua,100g,19.0,0.8,0.6,2.6,0.4,8.0,0.3,0.0,7.0,0.03,0.03
14008,Nước khoáng,100g,0.0,0.0,0.0,0.0,0.0,5.0,0.01,0.0,0.0,0.0,0.0
14009,Nước quít tươi,100g,24.0,0.4,0.2,5.1,0.2,20.0,0.2,0.0,47.0,0.06,0.02
14010,"Rượu cam, chanh (cồn 24,2 g)",100g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14011,Rượu nếp (80g/ 24 ml) (cồn 5 g),100g,167.0,4.0,0.0,37.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0
14012,Rượu trắng (cồn 39 g),100g,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14013,"Rượu vang đỏ (cồn 9,5 g)",100g,9.0,0.2,0.0,2.0,0.0,8.0,0.82,0.0,0.0,0.0,0.02
14014,"Rượu vang trắng (cồn 9,5 g)",100g,1.0,0.1,0.0,0.2,0.0,9.0,0.5,0.0,0.0,0.0,0.01
14015,Rượu vang trắng ngọt (cồn 10.2 g),100g,24.0,0.2,0.0,5.9,0.0,14.0,0.58,0.0,0.0,0.0,0.01
14016,"Rượu Whisky (cồn 35,2 g)",100g,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
